
Knight's Tour Path:
+-------+----------------+-------------------------+-------------------------+-----------------+
| Step  | Current Square |       Next Square       | Transition (Chess Not.) | Location (x, y) |
+-------+----------------+-------------------------+-------------------------+-----------------+
|     1 |             a1 |                      b3 |            a1 -> b3     |            11   |
|     2 |             b3 |                      a5 |            b3 -> a5     |            32   |
|     3 |             a5 |                      b7 |            a5 -> b7     |            51   |
|     4 |             b7 |                      a9 |            b7 -> a9     |            72   |
|     5 |             a9 |                      b; |            a9 -> b;     |            91   |
|     6 |             b; |                      a= |            b; -> a=     |           112   |
|     7 |             a= |                      b? |            a= -> b?     |           131   |
|     8 |             b? |                      d@ |            b? -> d@     |           152   |
|     9 |             d@ |                      f? |            d@ -> f?     |           164   |
|    10 |             f? |                      h@ |            f? -> h@     |           156   |
|    11 |             h@ |                      j? |            h@ -> j?     |           168   |
|    12 |             j? |                      l@ |            j? -> l@     |           160   |
|    13 |             l@ |                      n? |            l@ -> n?     |           172   |
|    14 |             n? |                      p@ |            n? -> p@     |           164   |
|    15 |             p@ |                      o> |            p@ -> o>     |           176   |
|    16 |             o> |                      n@ |            o> -> n@     |           155   |
|    17 |             n@ |                      p? |            n@ -> p?     |           174   |
|    18 |             p? |                      o= |            p? -> o=     |           166   |
|    19 |             o= |                      p; |            o= -> p;     |           145   |
|    20 |             p; |                      o9 |            p; -> o9     |           126   |
|    21 |             o9 |                      p7 |            o9 -> p7     |           105   |
|    22 |             p7 |                      o5 |            p7 -> o5     |            86   |
|    23 |             o5 |                      p3 |            o5 -> p3     |            65   |
|    24 |             p3 |                      o1 |            p3 -> o1     |            46   |
|    25 |             o1 |                      m2 |            o1 -> m2     |            25   |
|    26 |             m2 |                      k1 |            m2 -> k1     |            33   |
|    27 |             k1 |                      i2 |            k1 -> i2     |            21   |
|    28 |             i2 |                      g1 |            i2 -> g1     |            29   |
|    29 |             g1 |                      e2 |            g1 -> e2     |            17   |
|    30 |             e2 |                      c1 |            e2 -> c1     |            25   |
|    31 |             c1 |                      a2 |            c1 -> a2     |            13   |
|    32 |             a2 |                      b4 |            a2 -> b4     |            21   |
|    33 |             b4 |                      a6 |            b4 -> a6     |            42   |
|    34 |             a6 |                      b8 |            a6 -> b8     |            61   |
|    35 |             b8 |                      a: |            b8 -> a:     |            82   |
|    36 |             a: |                      b< |            a: -> b<     |           101   |
|    37 |             b< |                      a> |            b< -> a>     |           122   |
|    38 |             a> |                      b@ |            a> -> b@     |           141   |
|    39 |             b@ |                      c> |            b@ -> c>     |           162   |
|    40 |             c> |                      a? |            c> -> a?     |           143   |
|    41 |             a? |                      c@ |            a? -> c@     |           151   |
|    42 |             c@ |                      e? |            c@ -> e?     |           163   |
|    43 |             e? |                      g@ |            e? -> g@     |           155   |
|    44 |             g@ |                      h> |            g@ -> h>     |           167   |
|    45 |             h> |                      i@ |            h> -> i@     |           148   |
|    46 |             i@ |                      k? |            i@ -> k?     |           169   |
|    47 |             k? |                      m@ |            k? -> m@     |           161   |
|    48 |             m@ |                      o? |            m@ -> o?     |           173   |
|    49 |             o? |                      p= |            o? -> p=     |           165   |
|    50 |             p= |                      o; |            p= -> o;     |           146   |
|    51 |             o; |                      p9 |            o; -> p9     |           125   |
|    52 |             p9 |                      o7 |            p9 -> o7     |           106   |
|    53 |             o7 |                      p5 |            o7 -> p5     |            85   |
|    54 |             p5 |                      o3 |            p5 -> o3     |            66   |
|    55 |             o3 |                      p1 |            o3 -> p1     |            45   |
|    56 |             p1 |                      n2 |            p1 -> n2     |            26   |
|    57 |             n2 |                      l1 |            n2 -> l1     |            34   |
|    58 |             l1 |                      k3 |            l1 -> k3     |            22   |
|    59 |             k3 |                      j1 |            k3 -> j1     |            41   |
|    60 |             j1 |                      l2 |            j1 -> l2     |            20   |
|    61 |             l2 |                      n1 |            l2 -> n1     |            32   |
|    62 |             n1 |                      p2 |            n1 -> p2     |            24   |
|    63 |             p2 |                      o4 |            p2 -> o4     |            36   |
|    64 |             o4 |                      p6 |            o4 -> p6     |            55   |
|    65 |             p6 |                      o8 |            p6 -> o8     |            76   |
|    66 |             o8 |                      p: |            o8 -> p:     |            95   |
|    67 |             p: |                      o< |            p: -> o<     |           116   |
|    68 |             o< |                      p> |            o< -> p>     |           135   |
|    69 |             p> |                      o@ |            p> -> o@     |           156   |
|    70 |             o@ |                      n> |            o@ -> n>     |           175   |
|    71 |             n> |                      l? |            n> -> l?     |           154   |
|    72 |             l? |                      j@ |            l? -> j@     |           162   |
|    73 |             j@ |                      i> |            j@ -> i>     |           170   |
|    74 |             i> |                      g? |            i> -> g?     |           149   |
|    75 |             g? |                      e@ |            g? -> e@     |           157   |
|    76 |             e@ |                      d> |            e@ -> d>     |           165   |
|    77 |             d> |                      f= |            d> -> f=     |           144   |
|    78 |             f= |                      d< |            f= -> d<     |           136   |
|    79 |             d< |                      b= |            d< -> b=     |           124   |
|    80 |             b= |                      c? |            b= -> c?     |           132   |
|    81 |             c? |                      a@ |            c? -> a@     |           153   |
|    82 |             a@ |                      b> |            a@ -> b>     |           161   |
|    83 |             b> |                      a< |            b> -> a<     |           142   |
|    84 |             a< |                      c= |            a< -> c=     |           121   |
|    85 |             c= |                      d? |            c= -> d?     |           133   |
|    86 |             d? |                      f@ |            d? -> f@     |           154   |
|    87 |             f@ |                      e> |            f@ -> e>     |           166   |
|    88 |             e> |                      g= |            e> -> g=     |           145   |
|    89 |             g= |                      h? |            g= -> h?     |           137   |
|    90 |             h? |                      f> |            h? -> f>     |           158   |
|    91 |             f> |                      d= |            f> -> d=     |           146   |
|    92 |             d= |                      c; |            d= -> c;     |           134   |
|    93 |             c; |                      e< |            c; -> e<     |           113   |
|    94 |             e< |                      d: |            e< -> d:     |           125   |
|    95 |             d: |                      c< |            d: -> c<     |           104   |
|    96 |             c< |                      a; |            c< -> a;     |           123   |
|    97 |             a; |                      b9 |            a; -> b9     |           111   |
|    98 |             b9 |                      a7 |            b9 -> a7     |            92   |
|    99 |             a7 |                      c6 |            a7 -> c6     |            71   |
|   100 |             c6 |                      d8 |            c6 -> d8     |            63   |
|   101 |             d8 |                      c: |            d8 -> c:     |            84   |
|   102 |             c: |                      e; |            c: -> e;     |           103   |
|   103 |             e; |                      f9 |            e; -> f9     |           115   |
|   104 |             f9 |                      g; |            f9 -> g;     |            96   |
|   105 |             g; |                      e: |            g; -> e:     |           117   |
|   106 |             e: |                      c9 |            e: -> c9     |           105   |
|   107 |             c9 |                      a8 |            c9 -> a8     |            93   |
|   108 |             a8 |                      b: |            a8 -> b:     |            81   |
|   109 |             b: |                      c8 |            b: -> c8     |           102   |
|   110 |             c8 |                      b6 |            c8 -> b6     |            83   |
|   111 |             b6 |                      a4 |            b6 -> a4     |            62   |
|   112 |             a4 |                      b2 |            a4 -> b2     |            41   |
|   113 |             b2 |                      d1 |            b2 -> d1     |            22   |
|   114 |             d1 |                      c3 |            d1 -> c3     |            14   |
|   115 |             c3 |                      b1 |            c3 -> b1     |            33   |
|   116 |             b1 |                      a3 |            b1 -> a3     |            12   |
|   117 |             a3 |                      b5 |            a3 -> b5     |            31   |
|   118 |             b5 |                      c7 |            b5 -> c7     |            52   |
|   119 |             c7 |                      d9 |            c7 -> d9     |            73   |
|   120 |             d9 |                      e7 |            d9 -> e7     |            94   |
|   121 |             e7 |                      d5 |            e7 -> d5     |            75   |
|   122 |             d5 |                      e3 |            d5 -> e3     |            54   |
|   123 |             e3 |                      c2 |            e3 -> c2     |            35   |
|   124 |             c2 |                      d4 |            c2 -> d4     |            23   |
|   125 |             d4 |                      e6 |            d4 -> e6     |            44   |
|   126 |             e6 |                      c5 |            e6 -> c5     |            65   |
|   127 |             c5 |                      d7 |            c5 -> d7     |            53   |
|   128 |             d7 |                      f8 |            d7 -> f8     |            74   |
|   129 |             f8 |                      g: |            f8 -> g:     |            86   |
|   130 |             g: |                      f< |            g: -> f<     |           107   |
|   131 |             f< |                      d; |            f< -> d;     |           126   |
|   132 |             d; |                      e= |            d; -> e=     |           114   |
|   133 |             e= |                      g> |            e= -> g>     |           135   |
|   134 |             g> |                      h< |            g> -> h<     |           147   |
|   135 |             h< |                      f; |            h< -> f;     |           128   |
|   136 |             f; |                      e9 |            f; -> e9     |           116   |
|   137 |             e9 |                      f7 |            e9 -> f7     |            95   |
|   138 |             f7 |                      d6 |            f7 -> d6     |            76   |
|   139 |             d6 |                      c4 |            d6 -> c4     |            64   |
|   140 |             c4 |                      d2 |            c4 -> d2     |            43   |
