Transitions:
Start: (0, 0)
Move 10: (3, 11) -> (4, 13)
Move 8: (9, 5) -> (11, 6)
Move 8: (2, 12) -> (3, 14)
Move 8: (10, 4) -> (12, 5)
Move 10: (1, 13) -> (0, 15)
Move 10: (1, 13) -> (2, 15)
Move 10: (0, 14) -> (1, 16)
Move 8: (11, 1) -> (13, 2)
Move 8: (11, 1) -> (13, 0)
Move 8: (11, 3) -> (13, 4)
Move 8: (12, 0) -> (14, 1)
Move 8: (12, 2) -> (14, 3)
Move 9: (12, 1) -> (14, 2)
Move 9: (12, 1) -> (14, 0)
Move 9: (12, 3) -> (14, 4)
Move 9: (13, 0) -> (15, 1)
Move 9: (13, 2) -> (15, 3)
Move 10: (13, 1) -> (15, 2)
Move 10: (13, 1) -> (15, 0)
Move 10: (14, 0) -> (16, 1)
Move 8: (5, 11) -> (6, 13)
Move 8: (5, 11) -> (7, 12)
Move 8: (6, 10) -> (8, 11)
Move 8: (7, 9) -> (9, 10)
Move 8: (8, 8) -> (10, 9)
Move 10: (9, 7) -> (11, 8)
Move 8: (10, 6) -> (12, 7)
Move 8: (11, 5) -> (13, 6)
Move 8: (4, 12) -> (5, 14)
Move 8: (12, 4) -> (14, 5)
Move 10: (3, 13) -> (4, 15)
Move 10: (13, 3) -> (15, 4)
Move 10: (2, 14) -> (3, 16)
Move 10: (14, 2) -> (16, 3)
Move 8: (7, 11) -> (8, 13)
Move 8: (7, 11) -> (9, 12)
Move 8: (8, 10) -> (10, 11)
Move 8: (9, 9) -> (11, 10)
Move 8: (10, 8) -> (12, 9)
Move 8: (11, 7) -> (13, 8)
Move 8: (6, 12) -> (7, 14)
Move 8: (12, 6) -> (14, 7)
Move 10: (5, 13) -> (6, 15)
Move 10: (13, 5) -> (15, 6)
Move 10: (4, 14) -> (5, 16)
Move 10: (14, 4) -> (16, 5)
Move 9: (1, 14) -> (0, 16)
Move 9: (1, 14) -> (2, 16)
Move 11: (0, 15) -> (1, 17)
Move 12: (1, 15) -> (0, 17)
Move 12: (1, 15) -> (2, 17)
Move 12: (3, 15) -> (4, 17)
Move 10: (0, 16) -> (1, 18)
Move 10: (2, 16) -> (3, 18)
Move 11: (5, 12) -> (6, 14)
Move 11: (5, 12) -> (7, 13)
Move 11: (6, 11) -> (8, 12)
Move 11: (7, 10) -> (9, 11)
Move 11: (8, 9) -> (10, 10)
Move 9: (9, 8) -> (11, 9)
Move 9: (10, 7) -> (12, 8)
Move 11: (4, 13) -> (5, 15)
Move 9: (11, 6) -> (13, 7)
Move 9: (3, 14) -> (4, 16)
Move 9: (12, 5) -> (14, 6)
Move 11: (2, 15) -> (3, 17)
Move 9: (13, 4) -> (15, 5)
Move 11: (1, 16) -> (0, 18)
Move 11: (1, 16) -> (2, 18)
Move 13: (0, 17) -> (1, 19)
Move 9: (14, 1) -> (16, 2)
Move 9: (14, 1) -> (16, 0)
Move 9: (14, 3) -> (16, 4)
Move 11: (15, 0) -> (17, 1)
Move 11: (15, 2) -> (17, 3)
Move 10: (15, 1) -> (17, 2)
Move 10: (15, 1) -> (17, 0)
Move 10: (15, 3) -> (17, 4)
Move 10: (16, 0) -> (18, 1)
Move 10: (16, 2) -> (18, 3)
Move 11: (16, 1) -> (18, 2)
Move 11: (16, 1) -> (18, 0)
Move 11: (17, 0) -> (19, 1)
Move 9: (6, 13) -> (7, 15)
Move 9: (6, 13) -> (8, 14)
Move 9: (7, 12) -> (9, 13)
Move 9: (8, 11) -> (10, 12)
Move 9: (9, 10) -> (11, 11)
Move 9: (10, 9) -> (12, 10)
Move 11: (11, 8) -> (13, 9)
Move 9: (12, 7) -> (14, 8)
Move 9: (13, 6) -> (15, 7)
Move 9: (5, 14) -> (6, 16)
Move 9: (14, 5) -> (16, 6)
Move 11: (4, 15) -> (5, 17)
Move 11: (15, 4) -> (17, 5)
Move 11: (3, 16) -> (4, 18)
Move 11: (16, 3) -> (18, 4)
Move 13: (2, 17) -> (3, 19)
Move 11: (17, 2) -> (19, 3)
Move 9: (8, 13) -> (9, 15)
Move 9: (8, 13) -> (10, 14)
Move 9: (9, 12) -> (11, 13)
Move 9: (10, 11) -> (12, 12)
Move 9: (11, 10) -> (13, 11)
Move 9: (12, 9) -> (14, 10)
Move 9: (13, 8) -> (15, 9)
Move 9: (7, 14) -> (8, 16)
Move 9: (14, 7) -> (16, 8)
Move 11: (6, 15) -> (7, 17)
Move 11: (15, 6) -> (17, 7)
Move 11: (5, 16) -> (6, 18)
Move 11: (16, 5) -> (18, 6)
Move 13: (4, 17) -> (5, 19)
Move 11: (17, 4) -> (19, 5)
Move 12: (1, 17) -> (0, 19)
Move 12: (1, 17) -> (2, 19)
Move 12: (0, 18) -> (1, 20)
Move 11: (1, 18) -> (0, 20)
Move 11: (1, 18) -> (2, 20)
Move 11: (3, 18) -> (4, 20)
Move 13: (0, 19) -> (1, 21)
Move 13: (2, 19) -> (3, 21)
Move 12: (6, 14) -> (7, 16)
