
Knight's Tour Path:
+-------+----------------+-------------------------+-------------------------+-----------------+
| Step  | Current Square |       Next Square       | Transition (Chess Not.) | Location (x, y) |
+-------+----------------+-------------------------+-------------------------+-----------------+
|     1 |             a1 |                      b3 |            a1 -> b3     |            11   |
|     2 |             b3 |                      a5 |            b3 -> a5     |            32   |
|     3 |             a5 |                      b7 |            a5 -> b7     |            51   |
|     4 |             b7 |                      a9 |            b7 -> a9     |            72   |
|     5 |             a9 |                      b; |            a9 -> b;     |            91   |
|     6 |             b; |                      a= |            b; -> a=     |           112   |
|     7 |             a= |                      b? |            a= -> b?     |           131   |
|     8 |             b? |                      aA |            b? -> aA     |           152   |
|     9 |             aA |                      bC |            aA -> bC     |           171   |
|    10 |             bC |                      aE |            bC -> aE     |           192   |
|    11 |             aE |                      bG |            aE -> bG     |           211   |
|    12 |             bG |                      aI |            bG -> aI     |           232   |
|    13 |             aI |                      bK |            aI -> bK     |           251   |
|    14 |             bK |                      aM |            bK -> aM     |           272   |
|    15 |             aM |                      bO |            aM -> bO     |           291   |
|    16 |             bO |                      dP |            bO -> dP     |           312   |
|    17 |             dP |                      fO |            dP -> fO     |           324   |
|    18 |             fO |                      hP |            fO -> hP     |           316   |
|    19 |             hP |                      jO |            hP -> jO     |           328   |
|    20 |             jO |                      lP |            jO -> lP     |           320   |
|    21 |             lP |                      nO |            lP -> nO     |           332   |
|    22 |             nO |                      pP |            nO -> pP     |           324   |
|    23 |             pP |                      rO |            pP -> rO     |           336   |
|    24 |             rO |                      tP |            rO -> tP     |           328   |
|    25 |             tP |                      vO |            tP -> vO     |           340   |
|    26 |             vO |                      xP |            vO -> xP     |           332   |
|    27 |             xP |                      zO |            xP -> zO     |           344   |
|    28 |             zO |                      |P |            zO -> |P     |           336   |
|    29 |             |P |                      ~O |            |P -> ~O     |           348   |
|    30 |             ~O |                      €P |            ~O -> €P     |           340   |
|    31 |             €P |                      N |            €P -> N     |           352   |
|    32 |             N |                      ~P |            N -> ~P     |           331   |
|    33 |             ~P |                      €O |            ~P -> €O     |           350   |
|    34 |             €O |                      M |            €O -> M     |           342   |
|    35 |             M |                      €K |            M -> €K     |           321   |
|    36 |             €K |                      I |            €K -> I     |           302   |
|    37 |             I |                      €G |            I -> €G     |           281   |
|    38 |             €G |                      E |            €G -> E     |           262   |
|    39 |             E |                      €C |            E -> €C     |           241   |
|    40 |             €C |                      A |            €C -> A     |           222   |
|    41 |             A |                      €? |            A -> €?     |           201   |
|    42 |             €? |                      = |            €? -> =     |           182   |
|    43 |             = |                      €; |            = -> €;     |           161   |
|    44 |             €; |                      9 |            €; -> 9     |           142   |
|    45 |             9 |                      €7 |            9 -> €7     |           121   |
|    46 |             €7 |                      5 |            €7 -> 5     |           102   |
|    47 |             5 |                      €3 |            5 -> €3     |            81   |
|    48 |             €3 |                      1 |            €3 -> 1     |            62   |
|    49 |             1 |                      }2 |            1 -> }2     |            41   |
|    50 |             }2 |                      {1 |            }2 -> {1     |            49   |
|    51 |             {1 |                      y2 |            {1 -> y2     |            37   |
|    52 |             y2 |                      w1 |            y2 -> w1     |            45   |
|    53 |             w1 |                      u2 |            w1 -> u2     |            33   |
|    54 |             u2 |                      s1 |            u2 -> s1     |            41   |
|    55 |             s1 |                      q2 |            s1 -> q2     |            29   |
|    56 |             q2 |                      o1 |            q2 -> o1     |            37   |
|    57 |             o1 |                      m2 |            o1 -> m2     |            25   |
|    58 |             m2 |                      k1 |            m2 -> k1     |            33   |
|    59 |             k1 |                      i2 |            k1 -> i2     |            21   |
|    60 |             i2 |                      g1 |            i2 -> g1     |            29   |
|    61 |             g1 |                      e2 |            g1 -> e2     |            17   |
|    62 |             e2 |                      c1 |            e2 -> c1     |            25   |
|    63 |             c1 |                      a2 |            c1 -> a2     |            13   |
|    64 |             a2 |                      b4 |            a2 -> b4     |            21   |
|    65 |             b4 |                      a6 |            b4 -> a6     |            42   |
|    66 |             a6 |                      b8 |            a6 -> b8     |            61   |
|    67 |             b8 |                      a: |            b8 -> a:     |            82   |
|    68 |             a: |                      b< |            a: -> b<     |           101   |
|    69 |             b< |                      a> |            b< -> a>     |           122   |
|    70 |             a> |                      b@ |            a> -> b@     |           141   |
|    71 |             b@ |                      aB |            b@ -> aB     |           162   |
|    72 |             aB |                      bD |            aB -> bD     |           181   |
|    73 |             bD |                      aF |            bD -> aF     |           202   |
|    74 |             aF |                      bH |            aF -> bH     |           221   |
|    75 |             bH |                      aJ |            bH -> aJ     |           242   |
|    76 |             aJ |                      bL |            aJ -> bL     |           261   |
|    77 |             bL |                      aN |            bL -> aN     |           282   |
|    78 |             aN |                      bP |            aN -> bP     |           301   |
|    79 |             bP |                      cN |            bP -> cN     |           322   |
|    80 |             cN |                      aO |            cN -> aO     |           303   |
|    81 |             aO |                      cP |            aO -> cP     |           311   |
|    82 |             cP |                      eO |            cP -> eO     |           323   |
|    83 |             eO |                      gP |            eO -> gP     |           315   |
|    84 |             gP |                      hN |            gP -> hN     |           327   |
|    85 |             hN |                      iP |            hN -> iP     |           308   |
|    86 |             iP |                      kO |            iP -> kO     |           329   |
|    87 |             kO |                      mP |            kO -> mP     |           321   |
|    88 |             mP |                      lN |            mP -> lN     |           333   |
|    89 |             lN |                      kP |            lN -> kP     |           312   |
|    90 |             kP |                      iO |            kP -> iO     |           331   |
|    91 |             iO |                      jM |            iO -> jM     |           319   |
|    92 |             jM |                      kK |            jM -> kK     |           300   |
|    93 |             kK |                      lM |            kK -> lM     |           281   |
|    94 |             lM |                      mO |            lM -> mO     |           302   |
|    95 |             mO |                      oP |            mO -> oP     |           323   |
|    96 |             oP |                      pN |            oP -> pN     |           335   |
|    97 |             pN |                      qP |            pN -> qP     |           316   |
|    98 |             qP |                      oO |            qP -> oO     |           337   |
|    99 |             oO |                      nM |            oO -> nM     |           325   |
|   100 |             nM |                      mK |            nM -> mK     |           304   |
|   101 |             mK |                      lI |            mK -> lI     |           283   |
|   102 |             lI |                      mG |            lI -> mG     |           262   |
|   103 |             mG |                      nI |            mG -> nI     |           243   |
|   104 |             nI |                      oK |            nI -> oK     |           264   |
|   105 |             oK |                      mL |            oK -> mL     |           285   |
|   106 |             mL |                      nN |            mL -> nN     |           293   |
|   107 |             nN |                      oL |            nN -> oL     |           314   |
|   108 |             oL |                      nJ |            oL -> nJ     |           295   |
|   109 |             nJ |                      oH |            nJ -> oH     |           274   |
|   110 |             oH |                      pJ |            oH -> pJ     |           255   |
|   111 |             pJ |                      qL |            pJ -> qL     |           276   |
|   112 |             qL |                      oM |            qL -> oM     |           297   |
|   113 |             oM |                      pO |            oM -> pO     |           305   |
|   114 |             pO |                      rP |            pO -> rP     |           326   |
|   115 |             rP |                      qN |            rP -> qN     |           338   |
|   116 |             qN |                      sO |            qN -> sO     |           317   |
|   117 |             sO |                      uP |            sO -> uP     |           329   |
|   118 |             uP |                      tN |            uP -> tN     |           341   |
|   119 |             tN |                      sP |            tN -> sP     |           320   |
|   120 |             sP |                      rN |            sP -> rN     |           339   |
|   121 |             rN |                      tO |            rN -> tO     |           318   |
|   122 |             tO |                      vP |            tO -> vP     |           330   |
|   123 |             vP |                      uN |            vP -> uN     |           342   |
|   124 |             uN |                      sM |            uN -> sM     |           321   |
|   125 |             sM |                      rK |            sM -> rK     |           309   |
|   126 |             rK |                      qM |            rK -> qM     |           288   |
|   127 |             qM |                      pK |            qM -> pK     |           307   |
|   128 |             pK |                      qI |            pK -> qI     |           286   |
|   129 |             qI |                      oJ |            qI -> oJ     |           267   |
|   130 |             oJ |                      pL |            oJ -> pL     |           275   |
|   131 |             pL |                      oN |            pL -> oN     |           296   |
|   132 |             oN |                      nP |            oN -> nP     |           315   |
|   133 |             nP |                      mN |            nP -> mN     |           334   |
|   134 |             mN |                      nL |            mN -> nL     |           313   |
|   135 |             nL |                      pM |            nL -> pM     |           294   |
|   136 |             pM |                      qO |            pM -> qO     |           306   |
|   137 |             qO |                      rM |            qO -> rM     |           327   |
|   138 |             rM |                      qK |            rM -> qK     |           308   |
|   139 |             qK |                      sL |            qK -> sL     |           287   |
|   140 |             sL |                      rJ |            sL -> rJ     |           299   |
|   141 |             rJ |                      pI |            rJ -> pI     |           278   |
|   142 |             pI |                      nH |            pI -> nH     |           266   |
|   143 |             nH |                      mJ |            nH -> mJ     |           254   |
|   144 |             mJ |                      lL |            mJ -> lL     |           273   |
|   145 |             lL |                      kN |            lL -> kN     |           292   |
