
Knight's Tour Path:
+-------+----------------+-------------------------+-------------------------+-----------------+
| Step  | Current Square |       Next Square       | Transition (Chess Not.) | Location (x, y) |
+-------+----------------+-------------------------+-------------------------+-----------------+
|     1 |             a1 |                      b3 |            a1 -> b3     |            11   |
|     2 |             b3 |                      a5 |            b3 -> a5     |            32   |
|     3 |             a5 |                      b7 |            a5 -> b7     |            51   |
|     4 |             b7 |                      d8 |            b7 -> d8     |            72   |
|     5 |             d8 |                      f7 |            d8 -> f7     |            84   |
|     6 |             f7 |                      h8 |            f7 -> h8     |            76   |
|     7 |             h8 |                      g6 |            h8 -> g6     |            88   |
|     8 |             g6 |                      f8 |            g6 -> f8     |            67   |
|     9 |             f8 |                      h7 |            f8 -> h7     |            86   |
|    10 |             h7 |                      g5 |            h7 -> g5     |            78   |
|    11 |             g5 |                      h3 |            g5 -> h3     |            57   |
|    12 |             h3 |                      g1 |            h3 -> g1     |            38   |
|    13 |             g1 |                      e2 |            g1 -> e2     |            17   |
|    14 |             e2 |                      c1 |            e2 -> c1     |            25   |
|    15 |             c1 |                      a2 |            c1 -> a2     |            13   |
|    16 |             a2 |                      b4 |            a2 -> b4     |            21   |
|    17 |             b4 |                      a6 |            b4 -> a6     |            42   |
|    18 |             a6 |                      b8 |            a6 -> b8     |            61   |
|    19 |             b8 |                      c6 |            b8 -> c6     |            82   |
|    20 |             c6 |                      a7 |            c6 -> a7     |            63   |
|    21 |             a7 |                      c8 |            a7 -> c8     |            71   |
|    22 |             c8 |                      e7 |            c8 -> e7     |            83   |
|    23 |             e7 |                      g8 |            e7 -> g8     |            75   |
|    24 |             g8 |                      h6 |            g8 -> h6     |            87   |
|    25 |             h6 |                      g4 |            h6 -> g4     |            68   |
|    26 |             g4 |                      h2 |            g4 -> h2     |            47   |
|    27 |             h2 |                      f1 |            h2 -> f1     |            28   |
|    28 |             f1 |                      g3 |            f1 -> g3     |            16   |
|    29 |             g3 |                      h1 |            g3 -> h1     |            37   |
|    30 |             h1 |                      f2 |            h1 -> f2     |            18   |
|    31 |             f2 |                      d1 |            f2 -> d1     |            26   |
|    32 |             d1 |                      b2 |            d1 -> b2     |            14   |
|    33 |             b2 |                      a4 |            b2 -> a4     |            22   |
|    34 |             a4 |                      c5 |            a4 -> c5     |            41   |
|    35 |             c5 |                      d7 |            c5 -> d7     |            53   |
|    36 |             d7 |                      e5 |            d7 -> e5     |            74   |
|    37 |             e5 |                      d3 |            e5 -> d3     |            55   |
|    38 |             d3 |                      e1 |            d3 -> e1     |            34   |
|    39 |             e1 |                      f3 |            e1 -> f3     |            15   |
|    40 |             f3 |                      h4 |            f3 -> h4     |            36   |
|    41 |             h4 |                      g2 |            h4 -> g2     |            48   |
|    42 |             g2 |                      f4 |            g2 -> f4     |            27   |
|    43 |             f4 |                      h5 |            f4 -> h5     |            46   |
|    44 |             h5 |                      f6 |            h5 -> f6     |            58   |
|    45 |             f6 |                      e4 |            f6 -> e4     |            66   |
|    46 |             e4 |                      d2 |            e4 -> d2     |            45   |
|    47 |             d2 |                      b1 |            d2 -> b1     |            24   |
|    48 |             b1 |                      c3 |            b1 -> c3     |            12   |
|    49 |             c3 |                      d5 |            c3 -> d5     |            33   |
|    50 |             d5 |                      b6 |            d5 -> b6     |            54   |
|    51 |             b6 |                      a8 |            b6 -> a8     |            62   |
|    52 |             a8 |                      c7 |            a8 -> c7     |            81   |
|    53 |             c7 |                      e6 |            c7 -> e6     |            73   |
|    54 |             e6 |                      g7 |            e6 -> g7     |            65   |
|    55 |             g7 |                      e8 |            g7 -> e8     |            77   |
|    56 |             e8 |                      d6 |            e8 -> d6     |            85   |
|    57 |             d6 |                      f5 |            d6 -> f5     |            64   |
|    58 |             f5 |                      e3 |            f5 -> e3     |            56   |
|    59 |             e3 |                      c4 |            e3 -> c4     |            35   |
|    60 |             c4 |                      a3 |            c4 -> a3     |            43   |
|    61 |             a3 |                      b5 |            a3 -> b5     |            31   |
|    62 |             b5 |                      d4 |            b5 -> d4     |            52   |
|    63 |             d4 |                      c2 |            d4 -> c2     |            44   |
|    64 |             c2 |                    None |                None     |            23   |
+-------+----------------+-------------------------+-------------------------+-----------------+
